new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-CANNED-BEERS-011,SAVANNA RASPBERRY TWIST,CANNED BEERS,can,175.96,250.0,1000.0,bar_store,FGB-CAN-0011,FGB-CAN-0011 | FG-424,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-CANNED-BEERS-012,SNAPP CAN,CANNED BEERS,pcs,175.96,300.0,1000.0,bar_store,FG-213,FG-213,1,OK,
FGH-CANNED-BEERS-013,TUSKER CIDER CAN,CANNED BEERS,pcs,234.0,300.0,1000.0,bar_store,FG-214,FG-214,1,OK,
FGH-CANNED-BEERS-014,TUSKER LAGER CAN,CANNED BEERS,pcs,199.1,300.0,1000.0,bar_store,FG-215,FG-215,1,OK,
FGH-CANNED-BEERS-015,TUSKER LITE CAN,CANNED BEERS,pcs,243.0,300.0,1000.0,bar_store,FG-216,FG-216,1,OK,
FGH-CANNED-BEERS-016,TUSKER MALT CAN,CANNED BEERS,pcs,242.0,300.0,1000.0,bar_store,FG-217,FG-217,1,OK,
FGH-CANNED-BEERS-017,WHITE CAP CAN,CANNED BEERS,pcs,242.0,242.0,1000.0,bar_store,FG-218,FG-218,1,OK,
FGH-CLEANING-MATERIALS-001,CERAMIC STAIN REMOVER,CLEANING MATERIALS,L,0,0,1000.0,foodstuffs,FG-118,FG-118,1,OK,
FGH-CLEANING-MATERIALS-002,GROUT STAIN REMOVER,CLEANING MATERIALS,L,0,0,1000.0,foodstuffs,FG-115,FG-115,1,OK,
FGH-CLEANING-MATERIALS-003,INDUSTRIAL JIK,CLEANING MATERIALS,L,0,0,1000.0,foodstuffs,FG-117,FG-117,1,OK,
FGH-CLEANING-MATERIALS-004,SCOURING POWDER,CLEANING MATERIALS,pcs,0,0,1000.0,foodstuffs,FG-116,FG-116,1,OK,
FGH-CLEANING-MATERIALS-005,TOILET DISINFECTANT,CLEANING MATERIALS,L,0,0,1000.0,foodstuffs,FG-113,FG-113,1,OK,
FGH-CLEANING-MATERIALS-006,WASHING POWDER,CLEANING MATERIALS,kg,1200.0,1200.0,1000.0,foodstuffs,FG-176,FG-176,1,OK,
FGH-COGNAC-001,HENNESSY,COGNAC,bottle,4600.0,6500.0,1000.0,bar_store,FGB-COG-0001,FGB-STK-WHK-0023 | FGB-COG-0001 | FG-402,3,MEDIUM,"RETAIL, CATEGORY, NAME ALIAS"
FGH-COGNAC-002,HENNESSY 1L,COGNAC,pcs,0,13500.0,0,bar_store,MOG-BAR-0204,MOG-BAR-0204,1,OK,
FGH-COGNAC-003,HENNESSY 700ML,COGNAC,pcs,0,7500.0,0,bar_store,MOG-BAR-0203,MOG-BAR-0203,1,OK,
FGH-COGNAC-004,HENNESSY VSOP 700ML,COGNAC,pcs,9200.0,9200.0,3.0,bar_store,FG-267,FGB-STK-WHK-0024 | FG-267,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-COGNAC-005,MARTELL 750ML,COGNAC,bottle,0,8500.0,0,bar_store,FGB-STK-WHK-0025,MOG-BAR-0201 | FGB-STK-WHK-0025,2,MEDIUM,NAME ALIAS
FGH-COGNAC-006,MARTELL VS 700ML,COGNAC,bottle,4764.0,8500.0,1000.0,bar_store,FGB-COG-0003,FGB-COG-0003 | FG-287,2,MEDIUM,"RETAIL, CATEGORY, NAME ALIAS"
